compare,timestampA,timestampB,hungarian
0,2015-06-26_18-38-56,2015-06-26_23-03-00,0.8874841972187107
1,2015-06-26_23-03-00,2015-06-26_23-04-41,0.8338345864661654
2,2015-06-26_23-04-41,2015-06-26_23-05-18,0.9156526548672566
3,2015-06-26_23-05-18,2015-06-29_15-01-39,0.9239491150442478
4,2015-06-29_15-01-39,2015-06-29_16-17-30,0.74695796460177
5,2015-06-29_16-17-30,2015-06-29_16-29-46,0.9051438053097346
6,2015-06-29_16-29-46,2015-06-29_17-08-49,0.958892377961747
7,2015-06-29_17-08-49,2015-06-29_18-57-25,0.792588495575221
8,2015-06-29_18-57-25,2015-06-30_14-20-41,0.9315624999999998
9,2015-06-30_14-20-41,2015-06-30_14-59-31,0.8431311881188122
10,2015-06-30_14-59-31,2015-06-30_17-33-39,0.8005010961478232
11,2015-06-30_17-33-39,2015-06-30_18-40-26,0.8513333333333333
12,2015-06-30_18-40-26,2015-06-30_19-23-17,0.9663299663299664
13,2015-06-30_19-23-17,2015-07-02_11-02-35,0.807766990291262
14,2015-07-02_11-02-35,2015-07-02_14-40-09,0.8718446601941747
15,2015-07-02_14-40-09,2015-07-02_18-39-42,0.756149732620321
16,2015-07-02_18-39-42,2015-07-02_18-48-59,0.8980392156862746
17,2015-07-02_18-48-59,2015-07-06_10-50-32,0.9383753501400561
18,2015-07-06_10-50-32,2015-07-06_11-47-21,0.8372908796546142
19,2015-07-06_11-47-21,2015-07-06_15-16-16,0.8564738292011019
20,2015-07-06_15-16-16,2015-07-06_17-48-29,0.8313220702601232
21,2015-07-06_17-48-29,2015-07-06_18-41-52,0.9187922956793337
22,2015-07-06_18-41-52,2015-07-07_18-42-03,0.9138469547110878
23,2015-07-07_18-42-03,2015-07-07_19-50-10,0.8423169750603378
24,2015-07-07_19-50-10,2015-08-19_17-43-58,0.5231240175395059
25,2015-08-19_17-43-58,2015-08-19_18-14-01,0.914653361344538
26,2015-08-19_18-14-01,2015-08-21_13-54-55,0.9018666666666667
27,2015-08-21_13-54-55,2015-08-21_15-12-03,0.8979646017699117
28,2015-08-21_15-12-03,2015-08-21_18-50-17,0.9467182890855455
29,2015-08-21_18-50-17,2015-08-24_10-34-05,0.8980616740088108
30,2015-08-24_10-34-05,2015-08-24_15-13-45,0.9078602620087337
31,2015-08-24_15-13-45,2015-08-24_16-11-34,0.8980869565217394
32,2015-08-24_16-11-34,2015-08-25_09-35-03,0.8132278020378455
33,2015-08-25_09-35-03,2015-08-26_16-01-27,0.8188761593016911
34,2015-08-26_16-01-27,2015-08-26_17-28-56,0.8441750959190791
35,2015-08-26_17-28-56,2015-09-02_13-57-24,0.8739837398373984
36,2015-09-02_13-57-24,2015-09-02_17-37-27,0.8899787910922585
37,2015-09-02_17-37-27,2015-09-03_13-35-00,0.884028751753156
38,2015-09-03_13-35-00,2015-09-03_17-20-02,0.881526104417671
39,2015-09-03_17-20-02,2015-09-09_18-04-01,0.9725568942436411
40,2015-09-09_18-04-01,2015-09-10_11-19-39,0.9903423216676227
41,2015-09-10_11-19-39,2015-09-10_16-45-56,0.8678297872340424
42,2015-09-10_16-45-56,2015-09-11_12-00-21,0.8766635585318296
43,2015-09-11_12-00-21,2015-09-11_12-22-47,0.929391304347826
44,2015-09-11_12-22-47,2015-09-14_11-45-27,0.8822042467138526
45,2015-09-14_11-45-27,2015-09-14_19-08-31,0.8704120431442541
46,2015-09-14_19-08-31,2015-09-16_12-28-33,0.9015924551638836
47,2015-09-16_12-28-33,2015-09-16_13-53-00,0.8738804754925905
48,2015-09-16_13-53-00,2015-09-17_11-23-35,0.862489645304616
49,2015-09-17_11-23-35,2015-09-24_11-18-47,0.8992394005572706
50,2015-09-24_11-18-47,2015-09-24_21-52-21,0.9058503836317134
51,2015-09-24_21-52-21,2015-09-25_09-02-06,0.902075702075702
52,2015-09-25_09-02-06,2015-09-25_09-22-21,0.8948470209339774
53,2015-09-25_09-22-21,2015-09-28_17-02-04,0.8868832731648613
54,2015-09-28_17-02-04,2015-09-28_17-45-11,0.9487200525106662
55,2015-09-28_17-45-11,2015-09-30_20-13-26,0.8877025885244642
56,2015-09-30_20-13-26,2015-09-30_20-58-45,0.8626485954418114
57,2015-09-30_20-58-45,2015-10-05_16-26-18,0.8613013698630138
58,2015-10-05_16-26-18,2015-10-05_16-40-53,0.8601311953352768
59,2015-10-05_16-40-53,2015-10-05_17-35-00,0.8962161377006317
60,2015-10-05_17-35-00,2015-10-05_18-01-56,0.859458677087857
61,2015-10-05_18-01-56,2015-10-08_18-29-01,0.8876171454908585
62,2015-10-08_18-29-01,2015-10-13_15-57-54,0.86583315054471
63,2015-10-13_15-57-54,2015-10-14_15-02-52,0.873219178082192
64,2015-10-14_15-02-52,2015-10-16_18-21-30,0.8875510204081631
65,2015-10-16_18-21-30,2015-10-20_16-33-58,0.9298903234763296
66,2015-10-20_16-33-58,2015-10-20_16-47-45,0.8842149104539775
67,2015-10-20_16-47-45,2015-10-20_17-46-20,0.8834325396825399
68,2015-10-20_17-46-20,2015-10-28_13-57-25,0.889362912400455
69,2015-10-28_13-57-25,2015-10-29_11-22-17,0.9029119163459444
70,2015-10-29_11-22-17,2015-10-30_11-17-13,0.8846700796359501
71,2015-10-30_11-17-13,2015-10-30_18-14-23,0.8715277777777777
72,2015-10-30_18-14-23,2015-11-03_18-43-35,0.8632882882882883
73,2015-11-03_18-43-35,2015-11-04_13-35-55,0.873550317994762
74,2015-11-04_13-35-55,2015-11-04_18-14-40,0.8824972129319953
75,2015-11-04_18-14-40,2015-11-05_17-26-37,0.8667346938775509
76,2015-11-05_17-26-37,2015-11-06_15-00-32,0.843673469387755
77,2015-11-06_15-00-32,2015-11-06_15-06-34,0.8956965154909987
78,2015-11-06_15-06-34,2015-11-06_15-06-40,0.8997792494481239
79,2015-11-06_15-06-40,2015-11-09_19-00-12,0.9637969094922741
80,2015-11-09_19-00-12,2015-11-10_18-45-06,0.8765676567656767
81,2015-11-10_18-45-06,2015-11-17_11-53-12,0.8734141126158237
82,2015-11-17_11-53-12,2015-11-18_16-36-18,0.8770491803278688
83,2015-11-18_16-36-18,2015-11-18_16-37-15,0.8743394860658704
84,2015-11-18_16-37-15,2015-11-18_16-37-18,0.8633477633477634
85,2015-11-18_16-37-18,2015-11-23_13-53-49,0.878787878787879
86,2015-11-23_13-53-49,2015-11-23_14-58-51,0.9034050935697201
87,2015-11-23_14-58-51,2015-11-23_15-29-58,0.8755960729312765
88,2015-11-23_15-29-58,2015-11-25_17-57-13,0.9043679189028022
89,2015-11-25_17-57-13,2015-11-27_14-29-46,0.9668560606060607
90,2015-11-27_14-29-46,2015-12-01_13-54-06,0.8399799885648942
91,2015-12-01_13-54-06,2015-12-10_16-11-17,0.8662011969221997
92,2015-12-10_16-11-17,2015-12-10_18-26-08,0.8897467154273333
93,2015-12-10_18-26-08,2015-12-17_17-14-39,0.8842374478395475
94,2015-12-17_17-14-39,2015-12-28_13-48-28,0.9003076923076923
95,2015-12-28_13-48-28,2015-12-29_18-23-15,0.8591919191919192
96,2015-12-29_18-23-15,2016-01-13_16-07-39,0.8789480911837405
97,2016-01-13_16-07-39,2016-01-20_14-15-01,0.894125545485062
98,2016-01-20_14-15-01,2016-01-21_11-24-25,0.881881881881882
99,2016-01-21_11-24-25,2016-01-25_16-16-52,0.8869760479041914
100,2016-01-25_16-16-52,2016-01-29_14-02-27,0.8617502458210423
101,2016-01-29_14-02-27,2016-02-03_09-59-17,0.8844574780058652
102,2016-02-03_09-59-17,2016-02-03_11-32-49,0.900389863547758
103,2016-02-03_11-32-49,2016-02-03_11-33-53,0.9141000649772577
104,2016-02-03_11-33-53,2016-02-12_17-39-52,0.8607797318902967
105,2016-02-12_17-39-52,2016-02-12_18-59-37,0.8855727262003068
106,2016-02-12_18-59-37,2016-02-17_15-42-32,0.8742574839734165
107,2016-02-17_15-42-32,2016-02-17_16-43-25,0.8362803234501349
108,2016-02-17_16-43-25,2016-02-19_19-05-41,0.9745502645502646
109,2016-02-19_19-05-41,2016-02-19_20-56-47,0.916137566137566
