compare,timestampA,timestampB,hungarian
0,2015-06-26_18-38-56,2015-06-26_23-03-00,0.8282031550596384
1,2015-06-26_23-03-00,2015-06-26_23-04-41,0.8050877192982453
2,2015-06-26_23-04-41,2015-06-26_23-05-18,0.7999999999999998
3,2015-06-26_23-05-18,2015-06-29_15-01-39,0.8344149459193708
4,2015-06-29_15-01-39,2015-06-29_16-17-30,0.6037364798426745
5,2015-06-29_16-17-30,2015-06-29_16-29-46,0.8191236779624433
6,2015-06-29_16-29-46,2015-06-29_17-08-49,0.8512431521281079
7,2015-06-29_17-08-49,2015-06-29_18-57-25,0.7514078841512468
8,2015-06-29_18-57-25,2015-06-30_14-20-41,0.8068181818181817
9,2015-06-30_14-20-41,2015-06-30_14-59-31,0.7871287128712875
10,2015-06-30_14-59-31,2015-06-30_17-33-39,0.756437315322921
11,2015-06-30_17-33-39,2015-06-30_18-40-26,0.7821739130434784
12,2015-06-30_18-40-26,2015-06-30_19-23-17,0.811519449817322
13,2015-06-30_19-23-17,2015-07-02_11-02-35,0.7566618467258829
14,2015-07-02_11-02-35,2015-07-02_14-40-09,0.8020741394527803
15,2015-07-02_14-40-09,2015-07-02_18-39-42,0.7346590909090905
16,2015-07-02_18-39-42,2015-07-02_18-48-59,0.7820512820512824
17,2015-07-02_18-48-59,2015-07-06_10-50-32,0.8008818342151678
18,2015-07-06_10-50-32,2015-07-06_11-47-21,0.7675840978593271
19,2015-07-06_11-47-21,2015-07-06_15-16-16,0.7666115702479341
20,2015-07-06_15-16-16,2015-07-06_17-48-29,0.7407884151246983
21,2015-07-06_17-48-29,2015-07-06_18-41-52,0.7621238938053096
22,2015-07-06_18-41-52,2015-07-07_18-42-03,0.7711504424778762
23,2015-07-07_18-42-03,2015-07-07_19-50-10,0.82070796460177
24,2015-07-07_19-50-10,2015-08-19_17-43-58,0.48850766155896047
25,2015-08-19_17-43-58,2015-08-19_18-14-01,0.8489191729323308
26,2015-08-19_18-14-01,2015-08-21_13-54-55,0.8612612612612611
27,2015-08-21_13-54-55,2015-08-21_15-12-03,0.8664195168619951
28,2015-08-21_15-12-03,2015-08-21_18-50-17,0.8619226572917932
29,2015-08-21_18-50-17,2015-08-24_10-34-05,0.8626407244248654
30,2015-08-24_10-34-05,2015-08-24_15-13-45,0.8481383589979312
31,2015-08-24_15-13-45,2015-08-24_16-11-34,0.8508581235697941
32,2015-08-24_16-11-34,2015-08-25_09-35-03,0.7791640673736742
33,2015-08-25_09-35-03,2015-08-26_16-01-27,0.7929235796882852
34,2015-08-26_16-01-27,2015-08-26_17-28-56,0.7812198649951784
35,2015-08-26_17-28-56,2015-09-02_13-57-24,0.7783391405342625
36,2015-09-02_13-57-24,2015-09-02_17-37-27,0.815795586527294
37,2015-09-02_17-37-27,2015-09-03_13-35-00,0.8020273297491042
38,2015-09-03_13-35-00,2015-09-03_17-20-02,0.768685854529228
39,2015-09-03_17-20-02,2015-09-09_18-04-01,0.8041396354649366
40,2015-09-09_18-04-01,2015-09-10_11-19-39,0.8440531356194011
41,2015-09-10_11-19-39,2015-09-10_16-45-56,0.8136
42,2015-09-10_16-45-56,2015-09-11_12-00-21,0.8150586061550894
43,2015-09-11_12-00-21,2015-09-11_12-22-47,0.8202318840579712
44,2015-09-11_12-22-47,2015-09-14_11-45-27,0.8083361420065162
45,2015-09-14_11-45-27,2015-09-14_19-08-31,0.8349038408552378
46,2015-09-14_19-08-31,2015-09-16_12-28-33,0.8121980676328503
47,2015-09-16_12-28-33,2015-09-16_13-53-00,0.819563780568407
48,2015-09-16_13-53-00,2015-09-17_11-23-35,0.8276535706533541
49,2015-09-17_11-23-35,2015-09-24_11-18-47,0.8521271977425657
50,2015-09-24_11-18-47,2015-09-24_21-52-21,0.8032006920415227
51,2015-09-24_21-52-21,2015-09-25_09-02-06,0.8230129658701085
52,2015-09-25_09-02-06,2015-09-25_09-22-21,0.7840789750052507
53,2015-09-25_09-22-21,2015-09-28_17-02-04,0.8228954115000253
54,2015-09-28_17-02-04,2015-09-28_17-45-11,0.8174017684298636
55,2015-09-28_17-45-11,2015-09-30_20-13-26,0.8279002101406319
56,2015-09-30_20-13-26,2015-09-30_20-58-45,0.7982361132600959
57,2015-09-30_20-58-45,2015-10-05_16-26-18,0.778638078221163
58,2015-10-05_16-26-18,2015-10-05_16-40-53,0.8107142857142864
59,2015-10-05_16-40-53,2015-10-05_17-35-00,0.8213122149265701
60,2015-10-05_17-35-00,2015-10-05_18-01-56,0.8198581560283696
61,2015-10-05_18-01-56,2015-10-08_18-29-01,0.8128232703436261
62,2015-10-08_18-29-01,2015-10-13_15-57-54,0.8073036877468326
63,2015-10-13_15-57-54,2015-10-14_15-02-52,0.8012705975779232
