compare,timestampA,timestampB,hungarian
0,2015-06-26_18-38-56,2015-06-26_23-03-00,0.7985424258198854
1,2015-06-26_23-03-00,2015-06-26_23-04-41,0.7714556661925083
2,2015-06-26_23-04-41,2015-06-26_23-05-18,0.809136570198517
3,2015-06-26_23-05-18,2015-06-29_15-01-39,0.8165510643386749
4,2015-06-29_15-01-39,2015-06-29_16-17-30,0.6201865582396555
5,2015-06-29_16-17-30,2015-06-29_16-29-46,0.8253513794898489
6,2015-06-29_16-29-46,2015-06-29_17-08-49,0.831053901850362
7,2015-06-29_17-08-49,2015-06-29_18-57-25,0.7315634218289087
8,2015-06-29_18-57-25,2015-06-30_14-20-41,0.7657575757575759
9,2015-06-30_14-20-41,2015-06-30_14-59-31,0.781878187818782
10,2015-06-30_14-59-31,2015-06-30_17-33-39,0.7516916740217713
11,2015-06-30_17-33-39,2015-06-30_18-40-26,0.7599999999999999
12,2015-06-30_18-40-26,2015-06-30_19-23-17,0.7985919804101621
13,2015-06-30_19-23-17,2015-07-02_11-02-35,0.7432895488292404
14,2015-07-02_11-02-35,2015-07-02_14-40-09,0.7875499714448887
15,2015-07-02_14-40-09,2015-07-02_18-39-42,0.7665775401069519
16,2015-07-02_18-39-42,2015-07-02_18-48-59,0.7844155844155847
17,2015-07-02_18-48-59,2015-07-06_10-50-32,0.7803751803751805
18,2015-07-06_10-50-32,2015-07-06_11-47-21,0.787044759521824
19,2015-07-06_11-47-21,2015-07-06_15-16-16,0.7985795454545455
20,2015-07-06_15-16-16,2015-07-06_17-48-29,0.7771993753253513
21,2015-07-06_17-48-29,2015-07-06_18-41-52,0.763843236409608
22,2015-07-06_18-41-52,2015-07-07_18-42-03,0.767888748419722
23,2015-07-07_18-42-03,2015-07-07_19-50-10,0.7961998958875585
24,2015-07-07_19-50-10,2015-07-13_16-54-07,-1.0
25,2015-07-13_16-54-07,2015-07-13_17-55-29,-1.0
26,2015-07-13_17-55-29,2015-07-14_13-31-24,-1.0
27,2015-07-14_13-31-24,2015-07-14_15-43-36,-1.0
28,2015-07-14_15-43-36,2015-07-21_15-38-17,-1.0
29,2015-07-21_15-38-17,2015-07-21_15-38-21,-1.0
30,2015-07-21_15-38-21,2015-07-22_14-21-15,-1.0
31,2015-07-22_14-21-15,2015-07-28_11-20-02,-1.0
32,2015-07-28_11-20-02,2015-07-28_11-23-51,-1.0
33,2015-07-28_11-23-51,2015-07-29_17-38-14,-1.0
34,2015-07-29_17-38-14,2015-07-29_17-38-15,-1.0
35,2015-07-29_17-38-15,2015-08-03_13-48-28,-1.0
36,2015-08-03_13-48-28,2015-08-03_14-22-40,-1.0
37,2015-08-03_14-22-40,2015-08-04_12-06-34,-1.0
38,2015-08-04_12-06-34,2015-08-05_14-43-08,-1.0
39,2015-08-05_14-43-08,2015-08-05_16-59-52,-1.0
40,2015-08-05_16-59-52,2015-08-05_21-33-11,-1.0
41,2015-08-05_21-33-11,2015-08-06_11-13-11,-1.0
42,2015-08-06_11-13-11,2015-08-06_17-37-04,-1.0
43,2015-08-06_17-37-04,2015-08-07_13-59-36,-1.0
44,2015-08-07_13-59-36,2015-08-07_14-49-18,-1.0
45,2015-08-07_14-49-18,2015-08-07_18-08-42,-1.0
46,2015-08-07_18-08-42,2015-08-10_15-21-37,-1.0
47,2015-08-10_15-21-37,2015-08-10_16-05-55,-1.0
48,2015-08-10_16-05-55,2015-08-11_10-24-30,-1.0
49,2015-08-11_10-24-30,2015-08-11_16-47-22,-1.0
